GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1500000US220710017443,220710017443,"Block Group 3, Census Tract 17.44, Orleans Parish, Louisiana",972,352,50,55,922,356,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US220710017451,220710017451,"Block Group 1, Census Tract 17.45, Orleans Parish, Louisiana",2325,544,160,103,1978,518,5,11,0,12,0,12,153,189,29,52,29,52,0,12
1500000US220710017452,220710017452,"Block Group 2, Census Tract 17.45, Orleans Parish, Louisiana",1448,500,10,13,1426,500,0,12,2,6,0,12,0,12,10,17,0,12,10,17
1500000US220710017461,220710017461,"Block Group 1, Census Tract 17.46, Orleans Parish, Louisiana",1182,340,28,37,1146,345,0,12,0,12,0,12,0,12,8,14,0,12,8,14
1500000US220710017462,220710017462,"Block Group 2, Census Tract 17.46, Orleans Parish, Louisiana",1428,376,12,19,1410,378,0,12,0,12,0,12,0,12,6,11,0,12,6,11
1500000US220710017463,220710017463,"Block Group 3, Census Tract 17.46, Orleans Parish, Louisiana",1360,425,47,42,1313,429,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US220710017471,220710017471,"Block Group 1, Census Tract 17.47, Orleans Parish, Louisiana",2373,414,5,10,1645,398,0,12,723,224,0,12,0,12,0,12,0,12,0,12
1500000US220710017472,220710017472,"Block Group 2, Census Tract 17.47, Orleans Parish, Louisiana",1222,299,10,16,1124,293,0,12,66,103,0,12,22,36,0,12,0,12,0,12
1500000US220710017481,220710017481,"Block Group 1, Census Tract 17.48, Orleans Parish, Louisiana",1048,309,82,103,862,282,0,12,104,108,0,12,0,12,0,12,0,12,0,12
1500000US220710017482,220710017482,"Block Group 2, Census Tract 17.48, Orleans Parish, Louisiana",1391,423,0,12,1264,407,0,12,127,139,0,12,0,12,0,12,0,12,0,12
1500000US220710017483,220710017483,"Block Group 3, Census Tract 17.48, Orleans Parish, Louisiana",1310,471,67,57,1241,471,0,12,0,12,0,12,2,6,0,12,0,12,0,12
1500000US220710017484,220710017484,"Block Group 4, Census Tract 17.48, Orleans Parish, Louisiana",781,386,25,41,716,380,0,12,40,90,0,12,0,12,0,12,0,12,0,12
1500000US220710017491,220710017491,"Block Group 1, Census Tract 17.49, Orleans Parish, Louisiana",1211,272,13,17,648,233,0,12,536,209,0,12,14,23,0,12,0,12,0,12
1500000US220710017492,220710017492,"Block Group 2, Census Tract 17.49, Orleans Parish, Louisiana",1868,416,137,120,371,173,14,23,1087,303,162,240,84,93,13,20,0,12,13,20
1500000US220710017501,220710017501,"Block Group 1, Census Tract 17.50, Orleans Parish, Louisiana",996,297,30,37,174,88,0,12,778,324,0,12,14,24,0,12,0,12,0,12
1500000US220710017502,220710017502,"Block Group 2, Census Tract 17.50, Orleans Parish, Louisiana",658,264,211,196,285,199,0,12,83,79,0,12,36,42,43,53,34,51,9,14
1500000US220710017503,220710017503,"Block Group 3, Census Tract 17.50, Orleans Parish, Louisiana",1789,550,273,230,395,341,221,250,862,289,0,12,25,42,13,21,7,11,6,9
1500000US220710017511,220710017511,"Block Group 1, Census Tract 17.51, Orleans Parish, Louisiana",678,176,142,77,465,189,6,10,0,12,0,12,65,63,0,12,0,12,0,12
1500000US220710018001,220710018001,"Block Group 1, Census Tract 18, Orleans Parish, Louisiana",847,216,723,195,72,57,0,12,1,3,0,12,45,68,6,9,6,9,0,12
